Umean,Umax,Umed,Tstart,Ttotal,Dtotal,Dispmed,dEmax,Iswim,Ibike,Turnsmed,Turnsmin,Turnsmean,Grademed,Activity,Athlete,FileID
5.680038049,23.61652654,4.559685208,6.490833334,6.447777785,118118.6981,1032.698718,748.5,0,0,0.561600852,0.055693388,0.551048135,0.051336438,ride,Adam,20110327-142923
6.36270032,18.29788842,5.850109362,8.340833332,5.42388889,119862.6389,1451.51768,804.5,0,0,0.462655773,0.103934833,0.511685085,0.042075019,ride,Adam,20110403-162022
7.158425706,18.70714124,6.855632024,15.91472222,1.222500002,26886.7786,1866.863741,596.3,0,0,0.673697394,0.220833548,0.592053484,0.063435681,ride,Adam,20110409-235445
6.768341646,17.68834348,5.81959398,6.961111112,1.958611113,48653.69138,1665.832399,108.9,0,0,0.646077305,0.283557879,0.6510387,0.01304238,ride,Adam,20110417-145734
5.819533988,20.30547472,3.9418994,7.258888889,5.167222224,109153.7038,840.7797096,314.6,0,0,0.486863505,0.099335652,0.435867733,0.036249309,ride,Adam,20110430-151526
6.465001768,26.44560181,6.057070864,6.123333332,3.448888882,76062.87522,1065.180609,899.3,0,0,0.432180326,0.089823204,0.475361951,0.042181805,ride,Adam,20110529-140718
6.723924862,19.85216376,5.903988916,6.796944444,3.468333336,76031.34922,1285.737687,690.2,0,0,0.460661201,0.112545875,0.480693194,0.050508651,ride,Adam,20110618-144737
7.572467481,18.28554669,7.523653105,7.281666666,3.577222226,95254.95042,3226.09122,188,0,0,0.711373332,0.267856397,0.691322361,0.02038147,ride,Adam,20110625-151649
7.035227844,17.86800486,6.689587234,7.810277777,6.880277756,160822.2896,1378.957865,1256,0,0,0.466571533,0.066883951,0.503527477,0.040105371,ride,Adam,20110702-154831
5.054091546,20.57141039,3.70278182,10.42666666,4.04499999,66899.24046,729.8218836,497.9,0,0,0.488930707,0.046068734,0.482377115,0.038156477,ride,Adam,20110705-182531
6.908043347,17.4762437,6.748274324,6.198333333,4.315277777,110406.2302,1206.664499,129.5,0,0,0.471517019,0.083385944,0.453654787,0.013043536,ride,Adam,20110717-141153
6.78016694,19.16607049,5.520891858,5.974444443,7.21055558,161924.7709,1250.894701,913.2,0,0,0.594660148,0.081204286,0.525466028,0.051543457,ride,Adam,20110730-135820
8.205094304,20.292953,8.737304501,15.59833333,2.325555551,65512.8519,2287.524117,620.3,0,0,0.656617348,0.345078461,0.628814703,0.004822588,ride,Adam,20110806-233548
7.269745336,19.22896886,6.905100294,7.471944443,3.598611114,92139.79778,1880.529316,685.3,0,0,0.68019277,0.117651521,0.636219841,0.026934008,ride,Adam,20110807-152814
7.151614422,15.84594136,5.903987187,7.339444444,2.493888888,56450.14671,1202.20339,1164.6,0,0,0.469240685,0.127795979,0.508291528,0.054260678,ride,Adam,20110821-152014
6.977081164,33.63132034,5.802697607,6.369444444,4.467777768,104525.4179,1283.126494,860.2,0,0,0.617458969,0.029846595,0.546671137,0.045799666,ride,Adam,20110827-142202
6.936520423,17.80116014,6.330795574,8.590833331,3.401944444,80421.44424,1403.324584,707.7,0,0,0.561522728,0.125364124,0.530574326,0.040939713,ride,Adam,20110828-163519
6.269506761,17.82850179,5.876909697,10.99166667,3.90638889,80252.06255,1540.56521,603.1,0,0,0.637519605,0.038298791,0.54202072,0.051523291,ride,Adam,20110903-185925
7.439690814,17.05680585,6.968433662,7.092777777,3.100277781,76552.14901,1136.21453,680.8,0,0,0.560280982,0.107875257,0.459258797,0.038381577,ride,Adam,20110904-150528
7.964549235,20.87635595,8.365113831,11.49583333,2.948055558,81705.18105,1813.806172,620,0,0,0.526397736,0.142574647,0.522669146,0.028724408,ride,Adam,20110905-192940
